Kuby 8e Detailed TOC,"Updated Detailed TOC (Ch 4, 13, 14, 17, 18, 20 only)
",Updates,
○ B-Cell Recognition of Cell-Bound Antigen Culminates in the Formation of an Immunological Synapse,,,
○ Antigen Binding to the BCR Leads to Activation of a Signal Transduction Cascade within the B-Cell,,Text change to acknowledge that both Lyn and Fyn autophosphorylate.,
○ B-Cells Also Receive and Propagate Signals through Coreceptors,,,
○ B-Cells Use More Than One Mechanism to Acquire Antigen from Antigen-Presenting Cells,,,
○ Antigen Receptor Binding Induces Internalization and Antigen Presentation,,,
○ The Early Phases of the T-Dependent Response Are Characterized by Chemokine-Directed B-Cell Migration,,,
○ Specification of the Stimulated B-Cell Fate Depends on Transcription Factor Expression,,,
● T-Dependent B-Cell Responses: Differentiation and Memory Generation,,,
○ Some Activated B-Cells Differentiate into Plasma Cells That Form the Primary Focus,,,
○ Other Activated B-Cells Enter the Follicles and Initiate a Germinal Center Response,,Figure 11-17 label changed to show the Th cell in the germinal center is Tfh.,
○ The Mechanisms of Somatic Hypermutation and Class Switch Recombination,,,
○ Memory B Cells Recognizing T-Dependent Antigens Are Generated Both within and outside the Germinal Center,,,
○ Most Newly Generated B Cells Are Lost at the End of the Primary Immune Response,,,
● T-Independent B-Cell Responses,,,
○ T-Independent Antigens Stimulate Antibody Production in the Absence of T-Cell Help,,,
○ Two Novel Subclasses of B Cells Mediate the Response to T-Independent Antigens,,,
● Negative Regulation of B-Cells,,,
○ Negative Signaling through CD22 Balances Positive BCR-Mediated Signaling,,,
○ Negative Signaling through the FcgRIIb Receptor Inhibits B-Cell Activation,,,
○ CD5 Acts as a Negative Regulator of B-Cell Signaling,,,
○ B-10 B Cells Act as Negative Regulators by Secreting IL-10,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 12: Effector Responses: Antibody- and Cell-Mediated Immunity,,Minor corrections and updates.,
● Antibody-Mediated Effector Functions,,,
"○ Antibodies Provide Protection against Pathogens, Toxins, and Harmful Cells in a Variety of Ways",,,
○ Different Antibody Classes Mediate Different Effector Functions,,,
○ Fc Receptors Mediate Many Effector Functions of Antibodies,,,
○ Protective Effector Functions Vary among Antibody Classes,,,
○ Antibodies Have Many Therapeutic Uses in Treating Diseases,,,
● Cell-Mediated Effector Responses,,,
○ Cytotoxic T Lymphocytes Recognize and Kill Infected or Tumor Cells via T-Cell Receptor Activation,,,
○ Natural Killer Cell Activity Depends on the Balance of Activating and Inhibitory Signals,,,
○ NKT Cells Bridge the Innate and Adaptive Immune Systems,,,
● Conclusion,,,
● References,,,
● Study Questions,,Question 1 changed to list the FcRs.,
,,,
Chapter 13: Barrier Immunity: The Immunology of Mucosa and Skin,,"Major reorganization of chapter to highlight three important barriers: skin, gut, and respiratory tract. See COL for details. Throughout, text is streamlined to improve clarity and decrease length. Type 1, 2, and 3 responses are highlighted throughout.",
● Common Themes in Barrier Immune Systems,● Common Themes in Barrier Immune Systems,"Overview Figure 13-1 now includes urinary tract.
Microbiota and microbiome are defined and contrasted.",
○ All Barrier Surfaces Are Lined by One or More Layers of Epithelial Cells,○ Barrier Epithelial Cells Generate a Healthy Distance from Microbiota,"The content of Advances Box 13-1 has been moved to main text, where cell types are introduced.
Where club cells are introduced, a footnote recognizes the former name, Clara cell, was abandonded because of its connection to a Nazi sympathizer.",
○ Barrier Organs Are Populated by Innate and Adaptive Immune Cells That Interact with Epithelium and Secondary Lymphoid Tissue,○ Immune Cells Interact with Barrier Epithelium and Lymphoid Tissue,"The content of Advances Box 13-1 has been moved to main text, where cell types are introduced.",
○ Barrier Immune Systems Initiate Both Tolerogenic and Inflammatory Responses to Microorganisms,○ Barrier Immune Systems Initiate Both Tolerogenic and Inflammatory Responses to Microorganisms,Added discussion of the role of gut microbiota metabolites in homeostasis,
,● The Immune System of the Skin,"Section moved up and expanded, divided into sections.",
,○ The Skin and its Epithelium are Multi-layered,New content: iSALT,
,○ Skin Immune Cells Are Present in Both the Epidermis and Dermis,,
,○ The Interaction between Skin Immune System and Skin Microbes Generates both Protective and Inflammatory Responses,"New content: acne and psoriasis
Revised discussion of systemic effects of skin immune reactions to recognize Asian and African use of variolation (rather than Jenner)",
● Intestinal Immunity: Anatomy of the Gut,● The Immune System of the Intestine,Several sections on intestinal immunity are combined and streamlined,
○ The Gut Is Organized into Different Anatomical Sections and Tissue Layers,○ The Gut Is Organized into Different Anatomical Sections and Tissue Layers,"Expanded coverage of Peyer's patches, ILFs, and cryptopatches",
○ Gut Epithelial Cells Vary in Phenotype and Function,○ Gut Epithelial Cells Vary in Phenotype and Function,,
● Setting the Stage: Maintaining Immune Homeostasis in the Intestine,,Sections eliminated; content woven into surrounding sections.,
○ The Gut Immune System Maintains a Barrier between the Microbiome and the Epithelium,,,
○ Antigen Is Delivered from the Intestinal Lumen to Antigen-Presenting Cells in Multiple Ways,,,
○ Immune Homeostasis in the Intestine Is Promoted by Several Innate and Adaptive Cell Types,○ Immune Homeostasis in the Intestine Is Regulated by Both Innate and Adaptive Cell Types,"Discussion is streamlined, but still includes approximately the same headings and content",
○ The Immune Systems in the Small and Large Intestines Differ,,Section eliminated; content woven into surrounding sections.,
○ Commensal Microbes Help Maintain Tolerogenic Tone in the Intestine,○ Commensal Microbes Help Maintain Tolerance in the Intestine,This section includes two Boxes: Advances Box 13-3 (Germ-free animal systems) and Clinical Focis Box 13-2 (The Gut-Brain Axis),
● Springing into Action: Intestinal Immune System Response to Invasion,,Heading eliminated,
○ The Gut Immune System Recognizes and Responds to Harmful Pathogens,○ The Gut Immune System Recognizes and Responds to Harmful Pathogens,"This section includes new Box 13-3 (Responses of the Intestinal Immune System to Salmonella and Ascaris), content moved from the main text.",
○ The Intestinal Immune System Can Mount Both Type 1 and Type 2 Responses,,Section eliminated; content woven into surrounding sections.,
"● Dysbiosis, Inflammatory Bowel Disease, and Celiac Disease",,Cut (but maybe retained as digital content?),
● Other Barrier Immune Systems,,Heading eliminated,
,● The Immune System of the Respiratory Tract,New heading,
○ The Respiratory Immune System Shares Many Features with the Intestinal Immune System,○ The Respiratory Immune System Shares Many Features with the Intestinal Immune System,"Expanded and updated, now includes SARS CoV2 entry
Intranasal vaccines moved to new Chapter 18",
○ The Skin Is a Unique Barrier Immune System,,Moved up and expanded,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 14: The Adaptive Immune Response in Space and Time,,"Organizational changes collect memory in one A-head and contraction under a new heading. All case studies moved online. Throughout, SARS CoV-2 infection in the lungs is used as an example immune response.",
● Immune Cells in Healthy Tissue (Homeostasis),● Immune Cells in Healthy Tissue: Homeostasis,,
○ Naïve Lymphocytes Circulate between Secondary and Tertiary Lymphoid Tissues,○ Naïve Lymphocytes Circulate between Secondary and Tertiary Lymphoid Tissues,"Advances Box 14-1 and some detail of extravasation is retained in this section.
Here and throughout, SARS CoV-2 infection in the lungs is used as an example immune response.
New Figure 14-4 showing lymph nodes in lungs.",
○ Extravasation Is Driven by Sequential Activation of Surface Molecules,,Extravasation moved to Chapter 4.,
○ Naïve Lymphocytes Browse for Antigen along the Reticular Network of Secondary Lymphoid Organs,○ Naïve Lymphocytes Browse for Antigen along the Reticular Network of Secondary Lymphoid Organs,,
● Immune Cell Response to Antigen: The Innate Immune Response,● The Innate Immune Response to Antigen in Tissues,"Heading change
Here and throughout, SARS CoV-2 infection in the lungs is used as an example immune response.
Revised Overview Figure 14-9",
